iSerial,User,DevName
5AB0182627,so101p2dev,white_1
5AE6052707,so101p2dev,black_1
5AE6080088,so101p2g1,white_1
5AE6053304,so101p2g1,white_2
5AE6082906,so101p2g1,black_1
5AE6083437,so101p2g1,black_2
5AE6057422,so101p2g2,white_1
5AE6052740,so101p2g2,white_2
5AE6086358,so101p2g2,black_1
5AE6080451,so101p2g2,black_2
5B14114444,so101p2g3,white_1
5AE6053108,so101p2g3,white_2
5AE6056856,so101p2g3,black_1
5AE6057174,so101p2g3,black_2
5A7C123219,so101p2g4,white_1
5AE6081682,so101p2g4,white_2
5AE6056566,so101p2g4,black_1
5A7C118849,so101p2g4,black_2